CustomerID,Recency,Frequency,Value,RScore,FScore,VScore,RFV,Profile
12347.0,1,7,3314.73,3,3,3,9,Clientes VIP
12348.0,248,3,90.2,1,2,1,4,Clientes Churn
12349.0,18,1,999.15,3,1,3,7,Clientes Emergentes
12350.0,309,1,294.4,1,1,2,4,Clientes Churn
12352.0,35,7,1130.94,2,3,3,8,Clientes VIP
12353.0,203,1,29.300000000000004,1,1,1,3,Clientes Churn
12354.0,231,1,682.69,1,1,2,4,Clientes Churn
12355.0,213,1,219.0,1,1,1,3,Clientes Churn
12356.0,245,2,1086.56,1,1,3,5,Clientes Emergentes
12357.0,32,1,3315.41,2,1,3,6,Clientes Emergentes
12358.0,1,2,878.22,3,1,3,7,Clientes Emergentes
12359.0,57,4,3224.13,2,2,3,7,Clientes Emergentes
12360.0,51,3,1843.16,2,2,3,7,Clientes Emergentes
12361.0,286,1,174.9,1,1,1,3,Clientes Churn
12362.0,2,10,4098.94,3,3,3,9,Clientes VIP
12364.0,7,3,1106.28,3,2,3,8,Clientes VIP
12365.0,290,1,307.94,1,1,2,4,Clientes Churn
12367.0,3,1,138.3,3,1,1,5,Clientes Emergentes
12370.0,50,4,2602.41,2,2,3,7,Clientes Emergentes
12371.0,59,1,1300.46,2,1,3,6,Clientes Emergentes
12372.0,71,3,938.34,2,2,3,7,Clientes Emergentes
12373.0,310,1,299.1,1,1,2,4,Clientes Churn
12374.0,24,1,531.73,3,1,2,6,Clientes Emergentes
12375.0,10,2,283.3,3,1,2,6,Clientes Emergentes
12377.0,314,2,1472.52,1,1,3,5,Clientes Emergentes
12378.0,129,1,3396.64,1,1,3,5,Clientes Emergentes
12379.0,81,2,736.44,2,1,2,5,Clientes Emergentes
12380.0,21,4,1738.25,3,2,3,8,Clientes VIP
12381.0,4,5,1253.46,3,2,3,8,Clientes VIP
12383.0,184,5,1211.84,1,2,3,6,Clientes Emergentes
12384.0,28,2,286.32,2,1,2,5,Clientes Emergentes
12386.0,366,1,215.7,1,1,1,3,Clientes Churn
12388.0,15,6,2466.7000000000003,3,3,3,9,Clientes VIP
12390.0,79,1,407.74,2,1,2,5,Clientes Emergentes
12391.0,21,1,428.11,3,1,2,6,Clientes Emergentes
12393.0,71,4,1193.5,2,2,3,7,Clientes Emergentes
12394.0,216,1,331.18,1,1,2,4,Clientes Churn
12395.0,18,12,1844.57,3,3,3,9,Clientes VIP
12397.0,35,2,1720.01,2,1,3,6,Clientes Emergentes
12398.0,45,1,1349.44,2,1,3,6,Clientes Emergentes
12399.0,118,4,729.15,1,2,2,5,Clientes Emergentes
12401.0,302,1,32.85,1,1,1,3,Clientes Churn
12402.0,322,1,195.6,1,1,1,3,Clientes Churn
12403.0,49,1,92.9,2,1,1,4,Clientes Churn
12405.0,148,1,1104.8700000000001,1,1,3,5,Clientes Emergentes
12406.0,21,2,2871.78,3,1,3,7,Clientes Emergentes
12407.0,49,5,1085.01,2,2,3,7,Clientes Emergentes
12408.0,32,5,1869.47,2,2,3,7,Clientes Emergentes
12409.0,78,3,1646.79,2,2,3,7,Clientes Emergentes
12410.0,308,1,274.23,1,1,1,3,Clientes Churn
12412.0,74,3,1115.04,2,2,3,7,Clientes Emergentes
12413.0,66,3,545.2,2,2,2,6,Clientes Emergentes
12414.0,216,3,343.65,1,2,2,5,Clientes Emergentes
12415.0,24,11,3756.06,3,3,3,9,Clientes VIP
12417.0,2,9,2151.75,3,3,3,9,Clientes VIP
12418.0,112,1,418.16,1,1,2,4,Clientes Churn
12420.0,63,1,380.3,2,1,2,5,Clientes Emergentes
12421.0,15,4,607.57,3,2,2,7,Clientes Emergentes
12422.0,95,3,645.3100000000001,1,2,2,5,Clientes Emergentes
12423.0,0,8,1535.61,3,3,3,9,Clientes VIP
12424.0,162,2,703.72,1,1,2,4,Clientes Churn
12425.0,77,1,538.14,2,1,2,5,Clientes Emergentes
12426.0,194,1,446.08,1,1,2,4,Clientes Churn
12427.0,21,3,425.62,3,2,2,7,Clientes Emergentes
12428.0,25,8,4830.43,2,3,3,8,Clientes VIP
12429.0,8,4,2313.04,3,2,3,8,Clientes VIP
12430.0,42,1,168.6,2,1,1,4,Clientes Churn
12431.0,59,13,3933.55,2,3,3,8,Clientes VIP
12432.0,42,4,1909.68,2,2,3,7,Clientes Emergentes
12433.0,0,7,7947.37,3,3,3,9,Clientes VIP
12434.0,84,2,624.84,2,1,2,5,Clientes Emergentes
12435.0,267,1,78.0,1,1,1,3,Clientes Churn
12436.0,99,1,429.01000000000005,1,1,2,4,Clientes Churn
12437.0,1,18,2760.54,3,3,3,9,Clientes VIP
12438.0,13,2,1753.1200000000001,3,1,3,7,Clientes Emergentes
12441.0,366,1,155.55,1,1,1,3,Clientes Churn
12442.0,2,1,144.06,3,1,1,5,Clientes Emergentes
12444.0,20,5,2382.56,3,2,3,8,Clientes VIP
12445.0,21,1,77.4,3,1,1,5,Clientes Emergentes
12446.0,57,1,734.36,2,1,2,5,Clientes Emergentes
12447.0,242,1,379.78999999999996,1,1,2,4,Clientes Churn
12448.0,43,1,283.95,2,1,2,5,Clientes Emergentes
12449.0,21,4,2733.84,3,2,3,8,Clientes VIP
12450.0,155,2,131.88,1,1,1,3,Clientes Churn
12451.0,10,5,5878.31,3,2,3,8,Clientes VIP
12452.0,16,1,287.67,3,1,2,6,Clientes Emergentes
12453.0,133,1,707.09,1,1,2,4,Clientes Churn
12454.0,55,1,66.4,2,1,1,4,Clientes Churn
12455.0,72,5,1201.8600000000001,2,2,3,7,Clientes Emergentes
12456.0,43,3,1663.24,2,2,3,7,Clientes Emergentes
12457.0,85,2,958.93,2,1,3,6,Clientes Emergentes
12458.0,70,2,612.38,2,1,2,5,Clientes Emergentes
12461.0,154,1,419.08,1,1,2,4,Clientes Churn
12462.0,18,2,657.8,3,1,2,6,Clientes Emergentes
12463.0,52,4,1155.38,2,2,3,7,Clientes Emergentes
12464.0,149,4,76.5,1,2,1,4,Clientes Churn
12465.0,16,2,621.49,3,1,2,6,Clientes Emergentes
12468.0,187,2,575.99,1,1,2,4,Clientes Churn
12471.0,1,26,8738.78,3,3,3,9,Clientes VIP
12472.0,31,7,5052.03,2,3,3,8,Clientes VIP
12473.0,53,3,2229.45,2,2,3,7,Clientes Emergentes
12474.0,16,18,6166.9,3,3,3,9,Clientes VIP
12475.0,53,1,561.9399999999999,2,1,2,5,Clientes Emergentes
12476.0,15,10,3530.83,3,3,3,9,Clientes VIP
12477.0,22,6,7057.34,3,3,3,9,Clientes VIP
12478.0,3,1,479.59000000000003,3,1,2,6,Clientes Emergentes
12479.0,10,1,426.35,3,1,2,6,Clientes Emergentes
12480.0,27,4,2266.94,2,2,3,7,Clientes Emergentes
12481.0,22,10,3462.2,3,3,3,9,Clientes VIP
12483.0,16,7,1486.54,3,3,3,9,Clientes VIP
12484.0,34,4,3336.98,2,2,3,7,Clientes Emergentes
12488.0,9,3,952.1600000000001,3,2,3,8,Clientes VIP
12489.0,335,1,191.43,1,1,1,3,Clientes Churn
12490.0,4,10,4227.11,3,3,3,9,Clientes VIP
12491.0,38,1,350.75,2,1,2,5,Clientes Emergentes
12492.0,62,2,227.21,2,1,1,4,Clientes Churn
12493.0,165,2,332.91,1,1,2,4,Clientes Churn
12494.0,15,7,951.75,3,3,3,9,Clientes VIP
12497.0,81,1,20.4,2,1,1,4,Clientes Churn
12498.0,20,3,349.70000000000005,3,2,2,7,Clientes Emergentes
12500.0,49,7,497.89,2,3,2,7,Clientes Emergentes
12501.0,336,1,1866.66,1,1,3,5,Clientes Emergentes
12502.0,95,5,1511.32,1,2,3,6,Clientes Emergentes
12504.0,29,1,60.0,2,1,1,4,Clientes Churn
12506.0,232,1,57.6,1,1,1,3,Clientes Churn
12507.0,155,2,388.75,1,1,2,4,Clientes Churn
12508.0,25,2,398.27,2,1,2,5,Clientes Emergentes
12509.0,283,1,124.5,1,1,1,3,Clientes Churn
12510.0,142,2,620.05,1,1,2,4,Clientes Churn
12512.0,65,2,130.07999999999998,2,1,1,4,Clientes Churn
12513.0,112,1,520.04,1,1,2,4,Clientes Churn
12514.0,266,1,779.68,1,1,2,4,Clientes Churn
12515.0,352,1,190.8,1,1,1,3,Clientes Churn
12516.0,77,2,270.48,2,1,1,4,Clientes Churn
12517.0,27,4,2198.09,2,2,3,7,Clientes Emergentes
12518.0,0,5,1750.09,3,2,3,8,Clientes VIP
12519.0,63,1,252.84,2,1,1,4,Clientes Churn
12520.0,78,5,2061.56,2,2,3,7,Clientes Emergentes
12521.0,142,1,499.03,1,1,2,4,Clientes Churn
12522.0,38,2,152.72,2,1,1,4,Clientes Churn
12523.0,18,11,1277.91,3,3,3,9,Clientes VIP
12524.0,8,8,1719.21,3,3,3,9,Clientes VIP
12526.0,0,3,1074.46,3,2,3,8,Clientes VIP
12527.0,81,3,296.71000000000004,2,2,2,6,Clientes Emergentes
12528.0,8,6,1121.63,3,3,3,9,Clientes VIP
12530.0,59,4,1051.42,2,2,3,7,Clientes Emergentes
12531.0,14,1,95.27,3,1,1,5,Clientes Emergentes
12532.0,29,1,297.33000000000004,2,1,2,5,Clientes Emergentes
12534.0,130,1,828.73,1,1,3,5,Clientes Emergentes
12535.0,91,2,577.85,1,1,2,4,Clientes Churn
12536.0,58,1,3659.97,2,1,3,6,Clientes Emergentes
12538.0,28,1,258.75,2,1,1,4,Clientes Churn
12539.0,21,4,4141.6,3,2,3,8,Clientes VIP
12540.0,19,17,7967.64,3,3,3,9,Clientes VIP
12541.0,29,3,721.38,2,2,2,6,Clientes Emergentes
12544.0,35,1,284.9,2,1,2,5,Clientes Emergentes
12545.0,74,2,698.8,2,1,2,5,Clientes Emergentes
