Country,Quantity,Description
Australia,25,WRAP VINTAGE LEAF DESIGN
Austria,25,ZINC WILLIE WINKIE  CANDLE STICK
Bahrain,24,VANILLA SCENT CANDLE JEWELLED BOX
Belgium,25,WRAP SUKI AND FRIENDS
Brazil,24,SPACEBOY LUNCH BOX 
Canada,25,YELLOW COAT RACK PARIS FASHION
Channel Islands,25,ZINC T-LIGHT HOLDER STARS SMALL
Cyprus,25,ZINC HEART LATTICE T-LIGHT HOLDER
Czech Republic,24,VINTAGE HEADS AND TAILS CARD GAME 
Denmark,25,WRAP VINTAGE PETALS  DESIGN
EIRE,25,ZINC WIRE SWEETHEART LETTER TRAY
European Community,24,WHITE ROCKING HORSE HAND PAINTED
Finland,25,ZINC T-LIGHT HOLDER STARS SMALL
France,25,ZINC T-LIGHT HOLDER STARS SMALL
Germany,25,ZINC WILLIE WINKIE  CANDLE STICK
Greece,24,ZINC METAL HEART DECORATION
Iceland,24,WOODLAND DESIGN  COTTON TOTE BAG
Israel,25,YELLOW COAT RACK PARIS FASHION
Italy,25,ZINC FOLKART SLEIGH BELLS
Japan,24,WORLD WAR 2 GLIDERS ASSTD DESIGNS
Lebanon,24,WOODEN PICTURE FRAME WHITE FINISH
Lithuania,24,RED RETROSPOT CHILDRENS UMBRELLA
Malta,25,WRAP CHRISTMAS VILLAGE
Netherlands,25,ZINC T-LIGHT HOLDER STARS SMALL
Norway,25,ZINC WILLIE WINKIE  CANDLE STICK
Poland,25,ZINC WILLIE WINKIE  CANDLE STICK
Portugal,25,ZINC FOLKART SLEIGH BELLS
RSA,12,WOODEN BOX OF DOMINOES
Saudi Arabia,12,PLASTERS IN TIN STRONGMAN
Singapore,25,WOODEN UNION JACK BUNTING
Spain,25,ZINC T-LIGHT HOLDER STARS SMALL
Sweden,25,ZINC WILLIE WINKIE  CANDLE STICK
Switzerland,25,ZINC WILLIE WINKIE  CANDLE STICK
USA,25,WRAP ENGLISH ROSE 
United Arab Emirates,25,WRAP PAISLEY PARK 
United Kingdom,27,ZINC WIRE SWEETHEART LETTER TRAY
