Country,Unique,Media,Total
United Kingdom,15144,20.14850765979926,305129
Germany,425,17.56,7463
France,362,19.07182320441989,6904
EIRE,238,22.899159663865547,5450
Spain,93,21.989247311827956,2045
Belgium,82,20.24390243902439,1660
Switzerland,65,22.046153846153846,1433
Portugal,46,27.391304347826086,1260
Norway,44,17.545454545454547,772
Netherlands,43,14.348837209302326,617
Italy,34,17.764705882352942,604
Channel Islands,34,16.08823529411765,547
Finland,33,15.696969696969697,518
Australia,28,18.25,511
Cyprus,21,23.142857142857142,486
Austria,18,19.055555555555557,343
Denmark,17,17.470588235294116,297
Poland,16,15.8125,253
Sweden,12,20.833333333333332,250
Israel,12,16.0,192
Iceland,7,23.714285714285715,166
USA,5,32.0,160
Singapore,5,30.2,151
Canada,5,25.2,126
Greece,5,25.0,125
Japan,4,27.5,110
Malta,4,22.75,91
United Arab Emirates,3,19.333333333333332,58
European Community,3,15.666666666666666,47
RSA,2,22.5,45
Lebanon,2,16.5,33
Lithuania,2,14.5,29
Brazil,1,25.0,25
Czech Republic,1,18.0,18
Bahrain,1,11.0,11
Saudi Arabia,1,9.0,9
